,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
CNOT1,0.0,0.0,0.0,0.0,0.0,1.0
DHCR24,0.0,0.0,0.0,0.0,0.0,1.0
RAB11A,0.0,0.0,0.0,0.0,0.0,1.0
PSAP,0.0,0.0,0.0,0.0,0.0,1.0
RNF114,0.0,0.0,0.0,0.0,0.0,1.0
STRAP,0.0,0.0,0.0,0.0,0.0,1.0
S100A10,0.0,0.0,0.0,0.0,0.0,1.0
CCT8,0.0,0.0,0.0,0.0,0.0,1.0
NOP56,0.0,0.0,0.0,0.0,0.0,1.0
PSMB1,0.23367689966145888,0.3874133365189515,0.5997993035129552,0.17967226324959767,0.10543466159163895,1.0
CCT4,0.0,0.0,0.0,0.0,0.0,1.0
EPAS1,0.028484018653520193,0.0064149342111973935,0.006216215217460376,0.3513051612206877,0.12406666748929825,1.0
DNAJA1,0.0,0.0,0.0,0.0,0.0,1.0
PSMD4,0.0625,0.0,0.0,0.0,0.0,1.0
UQCRC2,0.0,0.0,0.0,0.0,0.0,1.0
CKB,0.03442833702157285,0.027204070229173316,0.008705695751243366,0.16878810574338887,0.11568333521757695,1.0
RHOC,0.0,0.0,0.0,0.0,0.0,1.0
PGAM1,0.0,0.0,0.0,0.0,0.0,1.0
STAT1,0.03690652817862351,0.00787231361145746,0.0018520729669813081,0.2454514507259411,0.10105458473916507,1.0
SSR1,0.0,0.0,0.0,0.0,0.0,1.0
TRA2B,0.041723097401988006,0.03760688484137303,0.020494417504156565,0.24475384015618967,0.10934185912711313,1.0
FKBP4,0.0,0.0,0.0,0.0,0.0,1.0
HDGF,0.0,0.0,0.0,0.0,0.0,1.0
OGA,0.0,0.0,0.0,0.0,0.0,1.0
M6PR,0.0,0.0,0.0,0.0,0.0,1.0
SELENOF,0.0,0.0,0.0,0.0,0.0,1.0
AHCY,0.05282216364445506,0.045155855258407394,0.022175105361943007,0.15205833590181075,0.147904938525298,1.0
PALLD,0.0,0.0,0.0,0.0,0.0,1.0
RPLP2,0.0,0.0,0.0,0.0,0.0,1.0
CCT3,0.0,0.0,0.0,0.0,0.0,1.0
EIF4A2,0.0,0.0,0.0,0.0,0.0,1.0
PPM1G,0.04336113690915902,0.04917935059280487,0.018512176347269635,0.09893357758272338,0.1199226668048663,1.0
KTN1,0.0,0.0,0.0,0.0,0.0,1.0
SRPRA,0.0,0.0,0.0,0.0,0.0,1.0
PHC2,0.0,0.0,0.0,0.0,0.0,1.0
BTG1,0.026337065842431503,0.015786018441219133,0.011653779216762257,0.2945925858951144,0.10326051533098701,1.0
KDELR1,0.0,0.0,0.0,0.0,0.0,1.0
