,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
CPE,0,0,0,0,0,1
PGD,0,0,0,0,0,1
COX8A,0,0,0,0,0,1
PGRMC1,0,0,0,0,0,1
EIF5A,0,0,0,0,0,1
ITGB5,0,0,0,0,0,1
MGAT1,0,0,0,0,0,1
CDH1,1,0,0,0,0,1
HNRNPH2,0,0,0,0,0,1
PJA2,0,0,0,0,0,1
COX7C,0,0,0,0,0,1
ECHS1,0,0,0,0,0,1
PLP2,0,0,0,0,0,1
HLA-DPB1,0,0,0,0,0,1
SSB,0,0,0,0,0,1
GPNMB,0,0,0,0,0,1
EIF2S1,1,1,0,0,0,1
HAX1,0,0,0,0,0,1
NFE2L2,0,0,0,0,0,1
TIMP3,0,0,0,0,0,1
MBNL1,0,0,0,0,0,1
RPL4,0,0,0,0,0,1
MFN2,1,0,0,0,0,1
RAB5C,0,0,0,0,0,1
NMT1,1,0,0,0,0,1
YBX3,1,0,0,0,0,1
PUM1,0,0,0,0,0,1
ARHGDIA,0,0,0,0,0,1
BHLHE40,0,0,0,0,0,1
ATP6V0E1,0,0,0,0,0,1
TERF2IP,0,0,0,0,0,1
TMX2,0,0,0,0,0,1
ARCN1,0,0,0,0,0,1
UBA2,0,0,0,0,0,1
FBXO7,0,0,0,0,0,1
GNAI3,0,0,0,0,0,1
CHD4,0,0,0,0,0,1
HTRA1,0,0,0,0,0,1
LRPAP1,0,0,0,0,0,1
ITPR3,1,0,0,0,0,1
PITPNA,0,0,0,0,0,1
IDH1,0,0,0,0,0,1
SELENOW,0,0,0,0,0,1
SLC7A5,0,0,0,0,0,1
AMD1,0,0,0,0,0,1
PSMD1,1,0,0,0,0,1
CREG1,0,0,0,0,0,1
CSTB,0,0,0,0,0,1
PCNA,0,0,0,0,0,1
RRBP1,0,0,0,0,0,1
TNFAIP1,1,0,0,0,0,1
HDAC1,0,0,0,0,0,1
LGMN,0,0,0,0,0,1
PPP1R7,0,0,0,0,0,1
PLS3,0,0,0,0,0,1
ERP29,0,0,0,0,0,1
SNRNP70,0,0,0,0,0,1
RAD23B,0,0,0,0,0,1
SRRM1,0,0,0,0,0,1
NDUFB8,0,0,0,0,0,1
ARIH2,0,0,0,0,0,1
ENO1,0,0,0,0,0,1
PSMD13,1,0,0,0,0,1
ILK,0,0,0,0,0,1
BTG2,0,0,0,0,0,1
CAPZA2,0,0,0,0,0,1
DDX1,0,0,0,0,0,1
ATP1B1,0,0,0,0,0,1
RAF1,1,1,0,0,0,1
SREBF2,0,0,0,0,0,1
SLC2A1,0,0,0,0,0,1
PKM,0,0,0,0,0,1
PSMC4,1,0,0,0,0,1
CDIPT,0,0,0,0,0,1
COX7A2L,0,0,0,0,0,1
RPS16,0,0,0,0,0,1
SYPL1,0,0,0,0,0,1
TARS1,0,0,0,0,0,1
COPE,0,0,0,0,0,1
TXNRD1,0,0,0,0,0,1
PSMC3,1,0,0,0,0,1
NUDCD3,0,0,0,0,0,1
RALY,0,0,0,0,0,1
AKR1B1,0,0,0,0,0,1
SRP9,0,0,0,0,0,1
PSMA5,1,0,0,0,0,1
FDPS,0,0,0,0,0,1
RAB5B,0,0,0,0,0,1
HNRNPAB,0,0,0,0,0,1
DAB2,1,0,0,0,0,1
ADRM1,0,0,0,0,0,1
OGDH,0,0,0,0,0,1
APEH,0,0,0,0,0,1
MKRN1,0,0,0,0,0,1
SDC1,0,0,0,0,0,1
ARHGDIB,0,0,0,0,0,1
CCN1,1,0,0,0,0,1
SEC11A,0,0,0,0,0,1
TOP2A,0,0,0,0,0,1
WSB1,0,0,0,0,0,1
ANXA4,0,0,0,0,0,1
EIF4A3,0,0,0,0,0,1
NDUFA5,0,0,0,0,0,1
ANP32B,0,0,0,0,0,1
SEPTIN11,0,0,0,0,0,1
NREP,0,0,0,0,0,1
SH3BGRL,0,0,0,0,0,1
ENO2,0,0,0,0,0,1
STK25,0,0,0,0,0,1
IFITM2,0,0,0,0,0,1
PSMA2,1,0,0,0,0,1
MYL12A,0,0,0,0,0,1
SMARCC2,0,0,0,0,0,1
ATP5F1B,0,0,0,0,0,1
EBNA1BP2,0,0,0,0,0,1
EMP1,1,0,0,0,0,1
CCT6A,0,0,0,0,0,1
ETS2,0,0,0,0,0,1
RARS1,0,0,0,0,0,1
STAT6,0,0,0,1,0,1
ARHGEF12,0,0,0,0,0,1
VAMP3,0,0,0,0,0,1
SCP2,0,0,0,0,0,1
ENC1,0,0,0,0,0,1
SNRPC,0,0,0,0,0,1
UBE2D2,0,0,0,0,0,1
ADIPOR2,0,0,0,0,0,1
NHERF1,0,0,0,0,0,1
FLOT2,0,0,0,1,0,1
YME1L1,0,0,0,0,0,1
BAZ2A,0,0,0,0,0,1
COPB1,0,0,0,0,0,1
CST3,0,0,0,0,0,1
TMEM109,0,0,0,0,0,1
OAZ2,0,0,0,0,0,1
ZFP36L2,0,0,0,0,0,1
CUL3,0,0,0,0,0,1
PLEC,1,0,0,0,0,1
PPP2CB,0,1,0,0,0,1
HNRNPF,0,0,0,0,0,1
UBAP2L,0,0,0,0,0,1
TPD52L2,0,0,0,0,0,1
CRTAP,0,0,0,0,0,1
NBR1,0,1,0,0,0,1
DHX15,0,0,0,0,0,1
UCHL1,0,0,0,0,0,1
PSMD3,1,0,0,0,0,1
ITGA5,0,0,0,0,0,1
CSNK2B,0,0,0,0,0,1
TRAP1,0,0,0,0,0,1
IGF2R,0,0,0,0,0,1
RBM5,1,0,0,0,0,1
SGTA,0,0,0,0,0,1
PHGDH,0,0,0,0,0,1
TRAM1,0,0,0,0,0,1
PSMB3,1,0,0,0,0,1
GRK2,0,0,0,0,0,1
MGST3,0,0,0,0,0,1
COPS6,0,0,0,0,0,1
RPL36A,0,0,0,0,0,1
PPP1CB,0,0,0,0,0,1
PLEKHB2,0,0,0,0,0,1
LRP10,0,0,0,0,0,1
HSD17B4,0,0,0,0,0,1
NAP1L4,0,0,0,0,0,1
GSS,0,0,1,0,0,1
SOX4,0,0,0,0,0,1
BAP1,0,0,0,0,0,1
WDR77,0,0,0,0,0,1
IFI30,0,0,0,0,0,1
CUL4A,0,0,0,0,0,1
ALDH2,0,0,0,0,0,1
VIM,1,0,0,0,0,1
SELENOP,0,0,0,0,0,1
CLDN4,0,0,0,0,0,1
RPL37A,0,0,0,0,0,1
DPYSL3,0,0,0,0,0,1
CAT,0,0,0,0,0,1
PTDSS1,0,0,0,0,0,1
TTC1,0,0,0,0,0,1
EIF4E,0,0,0,0,0,1
COL6A3,0,0,0,0,0,1
GBF1,0,0,0,0,0,1
DDX23,0,0,0,0,0,1
COX6B1,0,0,0,0,0,1
ATP6AP2,0,0,0,0,0,1
CNN3,0,0,0,0,0,1
TIA1,1,0,0,0,0,1
RHEB,0,1,0,0,0,1
NPEPPS,0,0,0,0,0,1
BUB3,0,0,0,0,0,1
RUVBL2,0,0,0,0,0,1
